"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Domain","Vocabulary","Standard Concept"
1615,"[seol] Antibiotics drug",42922840,"OMOP4649640","0.5 ML Tobramycin 3 MG/ML Ophthalmic Solution [TOBACIN]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",42922273,"OMOP4649087","1 ML Tobramycin 3 MG/ML Ophthalmic Solution","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",42922274,"OMOP4649088","1 ML Tobramycin 3 MG/ML Ophthalmic Solution [TOBCA]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",42683772,"OMOP4912767","10 ML Chloramphenicol 40 MG/ML Ophthalmic Solution","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",42683771,"OMOP4912768","10 ML Chloramphenicol 40 MG/ML Ophthalmic Solution by Thea","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43291600,"OMOP563143","10 ML Chloramphenicol 5 MG/ML Ophthalmic Solution [Chloromycetin]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43280778,"OMOP563144","10 ML Chloramphenicol 5 MG/ML Ophthalmic Solution [Chlorsig]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",42920699,"OMOP4647542","10 ML Chloramphenicol 5 MG/ML Ophthalmic Solution [UNIMED CHLORAMPHENICOL]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43296998,"OMOP563142","10 ML Chloramphenicol 5 MG/ML Ophthalmic Solution by Apotex","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",45776734,"1549546","10 ML dihydrostreptomycin 100 MG/ML / penicillin G procaine 100000 UNT/ML Prefilled Syringe","Drug","RxNorm","S"
1615,"[seol] Antibiotics drug",45776738,"1549551","10 ML dihydrostreptomycin 100 MG/ML / penicillin G procaine 100000 UNT/ML Prefilled Syringe [Quartermaster]","Drug","RxNorm","S"
1615,"[seol] Antibiotics drug",43607518,"OMOP722791","1000 MG Chloramphenicol 0.01 MG/MG Ophthalmic Ointment","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43769465,"OMOP722792","1000 MG Chloramphenicol 0.01 MG/MG Ophthalmic Ointment [Posifenicol C]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43643678,"OMOP722793","1000 MG Chloramphenicol 0.01 MG/MG Ophthalmic Ointment [Posifenicol C] by Ursapharm","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43787549,"OMOP740909","1000 MG Chlortetracycline 0.01 MG/MG Ophthalmic Ointment","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43787550,"OMOP740910","1000 MG Chlortetracycline 0.01 MG/MG Ophthalmic Ointment [Aureomycin Augensalbe Riemser]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43625614,"OMOP740911","1000 MG Chlortetracycline 0.01 MG/MG Ophthalmic Ointment [Aureomycin Augensalbe Riemser] by Carinopharm","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43589599,"OMOP729244","1000 MG Gentamicin 0.005 MG/MG Ophthalmic Ointment","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43589600,"OMOP729245","1000 MG Gentamicin 0.005 MG/MG Ophthalmic Ointment [Gent Ophtal]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43733649,"OMOP729246","1000 MG Gentamicin 0.005 MG/MG Ophthalmic Ointment [Gent Ophtal] by Dr. Robert Winzer","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43715577,"OMOP729251","1000 MG Gentamicin 0.005 MG/MG Ophthalmic Ointment [Gentamytrex]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43643809,"OMOP729252","1000 MG Gentamicin 0.005 MG/MG Ophthalmic Ointment [Gentamytrex] by Dr Gerhard Mann","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43841719,"OMOP729249","1000 MG Gentamicin 0.005 MG/MG Ophthalmic Ointment [Infectogenta]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43751585,"OMOP729250","1000 MG Gentamicin 0.005 MG/MG Ophthalmic Ointment [Infectogenta] by Infectopharm","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43625525,"OMOP728161","1000 MG Kanamycin 0.0062 MG/MG Ophthalmic Ointment","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43625526,"OMOP728174","1000 MG Kanamycin 0.0062 MG/MG Ophthalmic Ointment [Kanamycin-Pos]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43607612,"OMOP728175","1000 MG Kanamycin 0.0062 MG/MG Ophthalmic Ointment [Kanamycin-Pos] by Ursapharm","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43823593,"OMOP728164","1000 MG Kanamycin 0.0062 MG/MG Ophthalmic Ointment [Kanamytrex]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43697721,"OMOP728165","1000 MG Kanamycin 0.0062 MG/MG Ophthalmic Ointment [Kanamytrex] by Alcon","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43823594,"OMOP728166","1000 MG Kanamycin 0.0062 MG/MG Prefilled Applicator","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43607615,"OMOP728573","1000 MG Oxytetracycline 0.01 MG/MG Ophthalmic Ointment","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43733639,"OMOP728574","1000 MG Oxytetracycline 0.01 MG/MG Ophthalmic Ointment [Oxytetracyclin-Augensalbe Jenapharm]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43607616,"OMOP728575","1000 MG Oxytetracycline 0.01 MG/MG Ophthalmic Ointment [Oxytetracyclin-Augensalbe Jenapharm] by Mibe","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43607633,"OMOP729421","1000 MG Tobramycin 0.003 MG/MG Ophthalmic Ointment","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43841722,"OMOP729422","1000 MG Tobramycin 0.003 MG/MG Ophthalmic Ointment [Tobramaxin]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43715582,"OMOP729423","1000 MG Tobramycin 0.003 MG/MG Ophthalmic Ointment [Tobramaxin] by Alcon","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41477394,"OMOP2675356","10000 MG Chloramphenicol 0.01 MG/MG Ophthalmic Ointment","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41477645,"OMOP2675607","10000 MG Chloramphenicol 0.01 MG/MG Ophthalmic Ointment Box of 1","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41514454,"OMOP2712416","100000 MG Dihydrostreptomycin 0.0125 MG/MG / Hesperidin 0.02 MG/MG / Penicillin G 0.0012 MG/MG Topical Powder","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41516075,"OMOP2714037","100000 MG Dihydrostreptomycin 0.0125 MG/MG / Hesperidin 0.02 MG/MG / Penicillin G 0.0012 MG/MG Topical Powder [Pasimyxin]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41512167,"OMOP2710129","100000 MG Dihydrostreptomycin 0.0125 MG/MG / Hesperidin 0.02 MG/MG / Penicillin G 0.0012 MG/MG Topical Powder [Pasimyxin] Box of 1","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41514826,"OMOP2712788","100000 MG Dihydrostreptomycin 0.0125 MG/MG / Hesperidin 0.02 MG/MG / Penicillin G 0.0012 MG/MG Topical Powder Box of 1","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43792886,"OMOP834900","100000 MG Natamycin 0.01 MG/MG Ophthalmic Ointment","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43703210,"OMOP834901","100000 MG Natamycin 0.01 MG/MG Ophthalmic Ointment [Infectomyk]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43811072,"OMOP834902","100000 MG Natamycin 0.01 MG/MG Ophthalmic Ointment [Infectomyk] by OmniVision","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41521999,"OMOP2719961","1000000 MG Dihydrostreptomycin 0.00625 MG/MG / Hesperidin 0.02 MG/MG / Penicillin G 0.000599 MG/MG Topical Ointment","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41522124,"OMOP2720086","1000000 MG Dihydrostreptomycin 0.00625 MG/MG / Hesperidin 0.02 MG/MG / Penicillin G 0.000599 MG/MG Topical Ointment [Pasimyxin]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41522191,"OMOP2720153","1000000 MG Dihydrostreptomycin 0.00625 MG/MG / Hesperidin 0.02 MG/MG / Penicillin G 0.000599 MG/MG Topical Ointment [Pasimyxin] Box of 1","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41521975,"OMOP2719937","1000000 MG Dihydrostreptomycin 0.00625 MG/MG / Hesperidin 0.02 MG/MG / Penicillin G 0.000599 MG/MG Topical Ointment Box of 1","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41522181,"OMOP2720143","1000000 MG Dihydrostreptomycin 0.0125 MG/MG / Hesperidin 0.02 MG/MG / Penicillin G 0.0012 MG/MG Topical Powder","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41522101,"OMOP2720063","1000000 MG Dihydrostreptomycin 0.0125 MG/MG / Hesperidin 0.02 MG/MG / Penicillin G 0.0012 MG/MG Topical Powder [Pasimyxin]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41522190,"OMOP2720152","1000000 MG Dihydrostreptomycin 0.0125 MG/MG / Hesperidin 0.02 MG/MG / Penicillin G 0.0012 MG/MG Topical Powder [Pasimyxin] Box of 1","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41521974,"OMOP2719936","1000000 MG Dihydrostreptomycin 0.0125 MG/MG / Hesperidin 0.02 MG/MG / Penicillin G 0.0012 MG/MG Topical Powder Box of 1","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",44213406,"OMOP3090129","101000 MG Dihydrostreptomycin 0.0125 MG/MG / Hesperidin 0.02 MG/MG / Penicillin G 0.0012 MG/MG Topical Powder","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",44210953,"OMOP3087676","101000 MG Dihydrostreptomycin 0.0125 MG/MG / Hesperidin 0.02 MG/MG / Penicillin G 0.0012 MG/MG Topical Powder [Pasimyxin]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",44211654,"OMOP3088377","101000 MG Dihydrostreptomycin 0.0125 MG/MG / Hesperidin 0.02 MG/MG / Penicillin G 0.0012 MG/MG Topical Powder [Pasimyxin] Box of 1","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",44210520,"OMOP3087243","101000 MG Dihydrostreptomycin 0.0125 MG/MG / Hesperidin 0.02 MG/MG / Penicillin G 0.0012 MG/MG Topical Powder Box of 1","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",42920503,"OMOP4647352","15 ML Natamycin 50 MG/ML Ophthalmic Solution","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",42920502,"OMOP4647351","15 ML Natamycin 50 MG/ML Ophthalmic Solution [Natacyn]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41481551,"OMOP2679513","15000 MG Azidamfenicol 0.01 MG/MG / Clotrimazole 0.01 MG/MG Topical Cream","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41480258,"OMOP2678220","15000 MG Azidamfenicol 0.01 MG/MG / Clotrimazole 0.01 MG/MG Topical Cream [Baycuten Sd]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41481709,"OMOP2679671","15000 MG Azidamfenicol 0.01 MG/MG / Clotrimazole 0.01 MG/MG Topical Cream [Baycuten Sd] Box of 1","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41480648,"OMOP2678610","15000 MG Azidamfenicol 0.01 MG/MG / Clotrimazole 0.01 MG/MG Topical Cream [Baycuten Sd] Box of 1 by Bayer","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41480324,"OMOP2678286","15000 MG Azidamfenicol 0.01 MG/MG / Clotrimazole 0.01 MG/MG Topical Cream Box of 1","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41482304,"OMOP2680266","15100 MG Azidamfenicol 0.01 MG/MG / Clotrimazole 0.01 MG/MG Topical Cream","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41483474,"OMOP2681436","15100 MG Azidamfenicol 0.01 MG/MG / Clotrimazole 0.01 MG/MG Topical Cream [Baycuten Sd]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41483365,"OMOP2681327","15100 MG Azidamfenicol 0.01 MG/MG / Clotrimazole 0.01 MG/MG Topical Cream [Baycuten Sd] Box of 1","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41482267,"OMOP2680229","15100 MG Azidamfenicol 0.01 MG/MG / Clotrimazole 0.01 MG/MG Topical Cream [Baycuten Sd] Box of 1 by Bayer","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41483425,"OMOP2681387","15100 MG Azidamfenicol 0.01 MG/MG / Clotrimazole 0.01 MG/MG Topical Cream Box of 1","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41485776,"OMOP2683738","20000 MG Dihydrostreptomycin 0.00625 MG/MG / Hesperidin 0.02 MG/MG / Penicillin G 0.0006 MG/MG Topical Ointment","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41485219,"OMOP2683181","20000 MG Dihydrostreptomycin 0.00625 MG/MG / Hesperidin 0.02 MG/MG / Penicillin G 0.0006 MG/MG Topical Ointment [Pasimyxin]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41484790,"OMOP2682752","20000 MG Dihydrostreptomycin 0.00625 MG/MG / Hesperidin 0.02 MG/MG / Penicillin G 0.0006 MG/MG Topical Ointment [Pasimyxin] Box of 1","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41484912,"OMOP2682874","20000 MG Dihydrostreptomycin 0.00625 MG/MG / Hesperidin 0.02 MG/MG / Penicillin G 0.0006 MG/MG Topical Ointment Box of 1","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43198710,"OMOP506062","250 MG Azithromycin 0.0143 MG/MG Ophthalmic Solution","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43165723,"OMOP506064","250 MG Azithromycin 0.0143 MG/MG Ophthalmic Solution [Azyter]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43209556,"OMOP506065","250 MG Azithromycin 0.0143 MG/MG Ophthalmic Solution [Azyter] Box of 6","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43154734,"OMOP506066","250 MG Azithromycin 0.0143 MG/MG Ophthalmic Solution [Azyter] Box of 6 by Thea","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43165722,"OMOP506063","250 MG Azithromycin 0.0143 MG/MG Ophthalmic Solution Box of 6","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43615617,"OMOP715498","250 MG Azithromycin 0.015 MG/MG Ophthalmic Solution [Azyter] by Thea","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43613998,"OMOP757245","2500 MG Gentamicin 0.005 MG/MG Ophthalmic Ointment [Dexa Gentamicin]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43596051,"OMOP757247","2500 MG Gentamicin 0.005 MG/MG Ophthalmic Ointment [Dexa Gentamicin] Box of 2","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43704151,"OMOP757248","2500 MG Gentamicin 0.005 MG/MG Ophthalmic Ointment [Dexa Gentamicin] Box of 2 by Ursapharm","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43812021,"OMOP757246","2500 MG Gentamicin 0.005 MG/MG Ophthalmic Ointment [Dexa Gentamicin] by Ursapharm","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43848064,"OMOP757252","2500 MG Gentamicin 0.005 MG/MG Ophthalmic Ointment [Gentamicin Pos] Box of 2","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43866318,"OMOP757253","2500 MG Gentamicin 0.005 MG/MG Ophthalmic Ointment [Gentamicin Pos] Box of 2 by Ursapharm","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43757950,"OMOP757251","2500 MG Gentamicin 0.005 MG/MG Ophthalmic Ointment [Gentamicin Pos] by Ursapharm","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43721932,"OMOP757244","2500 MG Gentamicin 0.005 MG/MG Ophthalmic Ointment Box of 2","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43686206,"OMOP757220","2500 MG Kanamycin 0.0062 MG/MG Ophthalmic Ointment","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43757948,"OMOP757222","2500 MG Kanamycin 0.0062 MG/MG Ophthalmic Ointment [Kanamycin-Pos]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43686207,"OMOP757224","2500 MG Kanamycin 0.0062 MG/MG Ophthalmic Ointment [Kanamycin-Pos] Box of 2","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43866316,"OMOP757225","2500 MG Kanamycin 0.0062 MG/MG Ophthalmic Ointment [Kanamycin-Pos] Box of 2 by Ursapharm","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43668296,"OMOP757223","2500 MG Kanamycin 0.0062 MG/MG Ophthalmic Ointment [Kanamycin-Pos] by Ursapharm","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43596048,"OMOP757221","2500 MG Kanamycin 0.0062 MG/MG Ophthalmic Ointment Box of 2","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43866317,"OMOP757226","2500 MG Oxytetracycline 0.00576 MG/MG Ophthalmic Ointment","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43775931,"OMOP757229","2500 MG Oxytetracycline 0.00576 MG/MG Ophthalmic Ointment [Corti Biciron]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43668297,"OMOP757231","2500 MG Oxytetracycline 0.00576 MG/MG Ophthalmic Ointment [Corti Biciron] Box of 2","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43775932,"OMOP757232","2500 MG Oxytetracycline 0.00576 MG/MG Ophthalmic Ointment [Corti Biciron] Box of 2 by S & K","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43596049,"OMOP757230","2500 MG Oxytetracycline 0.00576 MG/MG Ophthalmic Ointment [Corti Biciron] by S & K","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43812020,"OMOP757227","2500 MG Oxytetracycline 0.00576 MG/MG Ophthalmic Ointment Box of 2","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41488030,"OMOP2685992","25000 MG Chloramphenicol 0.01 MG/MG Ophthalmic Ointment","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41488590,"OMOP2686552","25000 MG Chloramphenicol 0.01 MG/MG Ophthalmic Ointment [Leukomycin]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41488710,"OMOP2686672","25000 MG Chloramphenicol 0.01 MG/MG Ophthalmic Ointment [Leukomycin] Box of 1","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41488423,"OMOP2686385","25000 MG Chloramphenicol 0.01 MG/MG Ophthalmic Ointment Box of 1","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",44203965,"OMOP3080688","2990 MG Kanamycin 0.00619 MG/MG Ophthalmic Ointment [Kanamytrex] Box of 1 by Novartis","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43141618,"OMOP511477","3 ML Fusidate 10 MG/ML Ophthalmic Gel","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43163822,"OMOP511480","3 ML Fusidate 10 MG/ML Ophthalmic Gel [Fucithalmic]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43163823,"OMOP511481","3 ML Fusidate 10 MG/ML Ophthalmic Gel [Fucithalmic] Box of 1","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43218587,"OMOP511482","3 ML Fusidate 10 MG/ML Ophthalmic Gel [Fucithalmic] Box of 1 by Amdipharm","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43141619,"OMOP511478","3 ML Fusidate 10 MG/ML Ophthalmic Gel Box of 1","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",42921624,"OMOP4648448","3 ML Tobramycin 3 MG/ML Ophthalmic Solution","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",42921625,"OMOP4648449","3 ML Tobramycin 3 MG/ML Ophthalmic Solution [OCURACIN]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41467817,"OMOP2665779","3000 MG Fusidate 0.009 MG/MG Ophthalmic Gel [Fucithalmi] Box of 1","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41468344,"OMOP2666306","3000 MG Fusidate 0.009 MG/MG Ophthalmic Gel [Fucithalmi] Box of 10","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41468256,"OMOP2666218","3000 MG Fusidate 0.009 MG/MG Ophthalmic Gel [Fucithalmic] Box of 1 by Aca Mueller","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41468196,"OMOP2666158","3000 MG Fusidate 0.009 MG/MG Ophthalmic Gel [Fucithalmic] Box of 1 by Alcon","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41468370,"OMOP2666332","3000 MG Fusidate 0.009 MG/MG Ophthalmic Gel [Fucithalmic] Box of 1 by Axicorp","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41468255,"OMOP2666217","3000 MG Fusidate 0.009 MG/MG Ophthalmic Gel [Fucithalmic] Box of 1 by Emra-Med","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41467845,"OMOP2665807","3000 MG Fusidate 0.009 MG/MG Ophthalmic Gel [Fucithalmic] Box of 1 by Eurim-Pharm","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41467844,"OMOP2665806","3000 MG Fusidate 0.009 MG/MG Ophthalmic Gel [Fucithalmic] Box of 1 by Leo","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41467753,"OMOP2665715","3000 MG Fusidate 0.009 MG/MG Ophthalmic Gel [Fucithalmic] Box of 10","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41468144,"OMOP2666106","3000 MG Fusidate 0.009 MG/MG Ophthalmic Gel [Fucithalmic] Box of 10 by Boehringer Ingelheim","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41467803,"OMOP2665765","3000 MG Fusidate 0.009 MG/MG Ophthalmic Gel Box of 10","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43044568,"OMOP4859575","3000 MG Fusidate 0.01 MG/MG Ophthalmic Gel","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43044569,"OMOP4859576","3000 MG Fusidate 0.01 MG/MG Ophthalmic Gel [Fucithalmic]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",43044570,"OMOP4859577","3000 MG Fusidate 0.01 MG/MG Ophthalmic Gel [Fucithalmic] by Amdipharm","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41467683,"OMOP2665645","3000 MG Gentamicin 0.001 MG/MG Ophthalmic Ointment","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41468250,"OMOP2666212","3000 MG Gentamicin 0.001 MG/MG Ophthalmic Ointment [Gent Ophtal]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41468091,"OMOP2666053","3000 MG Gentamicin 0.001 MG/MG Ophthalmic Ointment [Gent Ophtal] Box of 1 by Winzer","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41468047,"OMOP2666009","3000 MG Gentamicin 0.001 MG/MG Ophthalmic Ointment Box of 1","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41467934,"OMOP2665896","3000 MG Gentamicin 0.00167 MG/MG Ophthalmic Ointment","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41468187,"OMOP2666149","3000 MG Gentamicin 0.00167 MG/MG Ophthalmic Ointment [Gentamytrex]","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41468136,"OMOP2666098","3000 MG Gentamicin 0.00167 MG/MG Ophthalmic Ointment [Gentamytrex] Box of 1","Drug","RxNorm Extension","S"
1615,"[seol] Antibiotics drug",41467933,"OMOP2665895","3000 MG Gentamicin 0.00167 MG/MG Ophthalmic Ointment Box of 1","Drug","RxNorm Extension","S"
